customer_id,recency,frequency,monetary,segment
CS1284,2015-03-11,24,1836,VIP
CS1285,2015-02-19,24,1778,VIP
CS1286,2015-01-07,21,1511,VIP
CS1287,2014-09-07,20,1440,VIP
CS1288,2014-07-08,17,1125,Gold
CS1289,2015-03-13,19,1355,Gold
CS1290,2014-12-10,20,1625,VIP
CS1291,2015-03-16,15,1006,Gold
CS1292,2015-02-23,18,1307,Gold
CS1293,2015-01-01,21,1625,VIP
CS1294,2015-02-10,30,2129,VIP
CS1295,2015-03-13,22,1487,VIP
CS1296,2015-03-04,21,1505,VIP
CS1297,2015-01-11,12,765,Silver
CS1298,2015-01-31,21,1561,VIP
CS1299,2014-12-06,21,1552,VIP
CS1300,2015-03-09,18,1309,Gold
CS1301,2015-02-19,19,1250,Gold
CS1302,2015-02-14,19,1278,Gold
CS1303,2015-02-02,22,1634,VIP
CS1304,2014-12-27,15,874,Silver
CS1305,2014-12-01,16,1031,Gold
CS1306,2015-03-12,15,1153,Gold
CS1307,2015-01-02,18,1220,Gold
CS1308,2015-02-26,21,1487,VIP
CS1309,2015-01-11,12,761,Silver
CS1310,2014-11-16,15,1103,Gold
CS1311,2015-02-10,18,1129,Gold
CS1312,2015-02-26,16,1353,Gold
CS1313,2015-03-05,29,2072,VIP
CS1314,2013-10-13,13,891,Silver
CS1315,2015-01-01,15,1030,Gold
CS1316,2015-02-15,26,1726,VIP
CS1317,2015-02-26,16,1146,Gold
CS1318,2015-02-28,22,1693,VIP
CS1319,2014-12-18,18,1161,Gold
CS1320,2015-03-04,18,1382,Gold
CS1321,2015-03-16,21,1668,VIP
CS1322,2015-03-11,26,1964,VIP
CS1323,2014-11-11,23,1595,VIP
CS1324,2014-08-20,24,1611,VIP
CS1325,2014-08-25,18,1209,Gold
CS1326,2015-02-20,27,1940,VIP
CS1327,2015-03-02,23,1525,VIP
CS1328,2014-08-10,15,1043,Gold
CS1329,2014-11-14,17,1158,Gold
CS1330,2015-02-17,23,1750,VIP
CS1331,2015-03-06,15,1170,Gold
CS1332,2014-11-06,29,2010,VIP
CS1333,2015-01-29,8,625,Silver
CS1334,2014-12-27,25,1781,VIP
CS1335,2014-11-15,17,1157,Gold
CS1336,2014-11-28,24,1696,VIP
CS1337,2015-02-08,22,1668,VIP
CS1338,2015-02-25,18,1436,VIP
CS1339,2015-01-16,23,1680,VIP
CS1340,2014-11-10,20,1506,VIP
CS1341,2015-01-07,13,1038,Gold
CS1342,2015-03-15,16,1326,Gold
CS1343,2015-01-08,21,1489,VIP
CS1344,2015-02-20,25,1638,VIP
CS1345,2014-12-06,18,1193,Gold
CS1346,2014-09-30,15,1072,Gold
CS1347,2015-03-12,30,2000,VIP
CS1348,2015-01-17,22,1583,VIP
CS1349,2015-02-28,16,1086,Gold
CS1350,2015-02-12,27,1996,VIP
CS1351,2014-11-14,21,1505,VIP
CS1352,2015-02-04,20,1424,VIP
CS1353,2014-08-23,19,1408,VIP
CS1354,2014-02-02,16,1324,Gold
CS1355,2015-01-27,23,1507,VIP
CS1356,2014-12-26,24,1740,VIP
CS1357,2014-10-14,26,1775,VIP
CS1358,2015-03-05,19,1408,VIP
CS1359,2015-02-24,16,1145,Gold
CS1360,2015-02-02,18,1282,Gold
CS1361,2015-02-27,19,1470,VIP
CS1362,2015-03-10,23,1703,VIP
CS1363,2014-08-27,24,1632,VIP
CS1364,2015-01-09,27,1864,VIP
CS1365,2015-02-27,19,1225,Gold
CS1366,2015-02-17,22,1493,VIP
CS1367,2015-01-08,29,2146,VIP
CS1368,2015-03-12,15,960,Silver
CS1369,2015-01-29,25,1746,VIP
CS1370,2014-10-26,26,1864,VIP
CS1371,2014-10-08,22,1496,VIP
CS1372,2014-06-11,19,1412,VIP
CS1373,2014-12-21,30,1967,VIP
CS1374,2014-10-03,19,1357,Gold
CS1375,2014-11-09,17,1165,Gold
CS1376,2015-02-10,25,1512,VIP
CS1377,2014-10-24,18,1505,VIP
CS1378,2015-02-19,25,1671,VIP
CS1379,2014-10-31,15,1134,Gold
CS1380,2015-02-28,26,1857,VIP
CS1381,2014-02-20,22,1449,VIP
CS1382,2015-03-12,25,1845,VIP
CS1383,2014-11-21,25,1878,VIP
CS1384,2015-03-04,17,964,Silver
CS1385,2015-03-11,22,1478,VIP
CS1386,2015-01-04,14,998,Silver
CS1387,2014-11-09,18,1238,Gold
CS1388,2015-02-14,19,1275,Gold
CS1389,2015-02-25,18,1189,Gold
CS1390,2015-01-31,19,1210,Gold
CS1391,2015-03-12,25,1584,VIP
CS1392,2015-01-01,17,1227,Gold
CS1393,2014-12-07,19,1437,VIP
CS1394,2015-03-11,28,2046,VIP
CS1395,2015-03-02,22,1704,VIP
CS1396,2015-02-13,25,1852,VIP
CS1397,2014-10-01,30,2156,VIP
CS1398,2015-02-15,20,1354,Gold
CS1399,2015-02-21,26,1832,VIP
CS1400,2014-12-30,18,1193,Gold
CS1401,2015-03-02,30,2023,VIP
CS1402,2015-02-14,22,1660,VIP
CS1403,2015-02-01,22,1652,VIP
CS1404,2015-01-25,28,1900,VIP
CS1405,2015-02-25,26,1943,VIP
CS1406,2015-03-02,27,1842,VIP
CS1407,2015-03-03,28,1916,VIP
CS1408,2014-07-18,17,1214,Gold
CS1409,2014-12-20,24,1464,VIP
CS1410,2015-01-16,15,1160,Gold
CS1411,2015-01-19,17,1222,Gold
CS1412,2015-03-01,22,1599,VIP
CS1413,2015-01-16,19,1396,Gold
CS1414,2014-10-14,20,1437,VIP
CS1415,2015-01-01,27,1752,VIP
CS1416,2015-03-04,20,1513,VIP
CS1417,2015-01-25,15,1076,Gold
CS1418,2014-10-17,14,1053,Gold
CS1419,2015-03-16,27,1915,VIP
CS1420,2014-12-25,25,1923,VIP
CS1421,2015-01-16,27,1896,VIP
CS1422,2015-03-11,15,1211,Gold
CS1423,2015-01-20,20,1182,Gold
CS1424,2015-03-06,24,1753,VIP
CS1425,2015-01-04,23,1688,VIP
CS1426,2015-02-23,21,1538,VIP
CS1427,2015-03-09,15,985,Silver
CS1428,2014-12-21,25,1948,VIP
CS1429,2014-11-04,18,1261,Gold
CS1430,2015-03-03,21,1440,VIP
CS1431,2015-03-04,18,1257,Gold
CS1432,2015-03-13,19,1362,Gold
CS1433,2015-02-05,20,1468,VIP
CS1434,2015-03-05,27,1758,VIP
CS1435,2015-01-29,25,1700,VIP
CS1436,2015-01-16,14,977,Silver
CS1437,2015-02-16,12,880,Silver
CS1438,2015-02-08,20,1374,Gold
CS1439,2015-02-10,16,1160,Gold
CS1440,2014-12-05,22,1577,VIP
CS1441,2015-01-07,20,1351,Gold
CS1442,2015-03-08,20,1225,Gold
CS1443,2015-01-22,24,1876,VIP
CS1444,2015-02-09,23,1756,VIP
CS1445,2015-03-14,23,1526,VIP
CS1446,2015-03-03,15,991,Silver
CS1447,2015-03-11,14,1001,Gold
CS1448,2015-02-05,16,1239,Gold
CS1449,2015-03-14,20,1402,VIP
CS1450,2015-02-20,20,1251,Gold
CS1451,2015-02-24,22,1715,VIP
CS1452,2014-11-28,15,941,Silver
CS1453,2014-11-04,22,1640,VIP
CS1454,2015-02-24,17,1126,Gold
CS1455,2015-03-14,18,1301,Gold
CS1456,2014-08-24,20,1363,Gold
CS1457,2014-12-15,15,929,Silver
CS1458,2015-03-11,20,1422,VIP
CS1459,2014-11-12,24,1627,VIP
CS1460,2015-02-03,18,1185,Gold
CS1461,2015-02-17,23,1567,VIP
CS1462,2015-01-27,24,1616,VIP
CS1463,2014-11-08,27,1807,VIP
CS1464,2014-07-23,21,1613,VIP
CS1465,2015-03-14,22,1631,VIP
CS1466,2015-02-22,17,1190,Gold
CS1467,2014-08-10,18,1233,Gold
CS1468,2015-03-07,21,1412,VIP
CS1469,2015-03-07,19,1387,Gold
CS1470,2015-01-23,22,1649,VIP
CS1471,2015-03-12,20,1325,Gold
CS1472,2015-03-08,19,1241,Gold
CS1473,2015-03-13,25,1695,VIP
CS1474,2014-12-17,21,1487,VIP
CS1475,2015-01-20,18,1197,Gold
CS1476,2014-12-29,20,1430,VIP
CS1477,2015-03-03,18,1185,Gold
CS1478,2014-12-16,19,1300,Gold
CS1479,2015-01-18,20,1567,VIP
CS1480,2014-12-24,17,1251,Gold
CS1481,2013-12-23,13,876,Silver
CS1482,2015-02-08,12,732,Silver
CS1483,2015-01-01,24,1774,VIP
CS1484,2014-12-07,16,1221,Gold
CS1485,2015-02-22,25,1814,VIP
CS1486,2015-01-27,19,1377,Gold
CS1487,2015-02-16,10,599,Silver
CS1488,2015-03-03,23,1595,VIP
CS1489,2015-02-11,15,950,Silver
CS1490,2015-02-21,25,1788,VIP
CS1491,2014-12-19,17,1244,Gold
CS1492,2015-02-07,19,1358,Gold
CS1493,2015-03-11,21,1531,VIP
CS1494,2014-11-18,21,1502,VIP
CS1495,2015-02-26,17,1138,Gold
CS1496,2015-02-21,18,1222,Gold
CS1497,2015-03-09,20,1445,VIP
CS1498,2015-01-19,22,1519,VIP
CS1499,2015-01-30,26,1879,VIP
CS1500,2014-10-03,15,983,Silver
CS1501,2015-02-09,26,1965,VIP
CS1502,2015-03-11,22,1613,VIP
CS1503,2015-03-15,27,1927,VIP
CS1504,2015-01-31,13,825,Silver
CS1505,2015-01-23,25,1703,VIP
CS1506,2014-12-30,18,1307,Gold
CS1507,2015-02-25,21,1280,Gold
CS1508,2015-03-02,28,1933,VIP
CS1509,2014-10-21,20,1383,Gold
CS1510,2015-03-13,26,1792,VIP
CS1511,2015-01-25,18,1253,Gold
CS1512,2015-02-21,20,1239,Gold
CS1513,2014-11-30,22,1444,VIP
CS1514,2014-10-06,16,1046,Gold
CS1515,2015-03-02,22,1742,VIP
CS1516,2014-12-05,18,1308,Gold
CS1517,2014-12-21,18,1168,Gold
CS1518,2014-11-12,19,1151,Gold
CS1519,2015-03-05,15,962,Silver
CS1520,2015-03-13,18,1162,Gold
CS1521,2014-09-03,9,671,Silver
CS1522,2014-12-10,14,894,Silver
CS1523,2014-08-13,15,928,Silver
CS1524,2014-11-06,17,1075,Gold
CS1525,2015-02-17,17,1215,Gold
CS1526,2015-02-13,19,1324,Gold
CS1527,2015-03-03,19,1187,Gold
CS1528,2015-03-13,24,1660,VIP
CS1529,2015-03-07,25,1823,VIP
CS1530,2014-07-08,10,626,Silver
CS1531,2015-02-09,25,1793,VIP
CS1532,2014-06-06,17,1140,Gold
CS1533,2015-02-01,23,1606,VIP
CS1534,2015-01-07,20,1379,Gold
CS1535,2014-12-23,24,1904,VIP
CS1536,2015-02-09,12,753,Silver
CS1537,2015-03-11,20,1323,Gold
CS1538,2015-03-14,19,1304,Gold
CS1539,2015-02-19,20,1371,Gold
CS1540,2015-02-06,19,1199,Gold
CS1541,2014-10-26,30,2273,VIP
CS1542,2014-09-27,27,1808,VIP
CS1543,2015-03-15,12,948,Silver
CS1544,2015-01-22,19,1334,Gold
CS1545,2015-02-23,28,1935,VIP
CS1546,2014-08-29,18,1436,VIP
CS1547,2015-02-19,22,1600,VIP
CS1548,2015-02-27,23,1755,VIP
CS1549,2015-02-19,20,1393,Gold
CS1550,2015-01-25,22,1583,VIP
CS1551,2014-12-05,18,1300,Gold
CS1552,2015-02-14,22,1604,VIP
CS1553,2014-09-10,20,1444,VIP
CS1554,2014-10-26,17,993,Silver
CS1555,2015-01-13,23,1571,VIP
CS1556,2015-02-22,13,1031,Gold
CS1557,2015-02-03,30,1992,VIP
CS1558,2015-02-25,23,1500,VIP
CS1559,2015-03-10,20,1613,VIP
CS1560,2015-01-26,18,1352,Gold
CS1561,2015-03-15,15,1082,Gold
CS1562,2014-03-03,12,711,Silver
CS1563,2014-02-05,17,1108,Gold
CS1564,2015-02-26,16,1304,Gold
CS1565,2014-11-16,17,1147,Gold
CS1566,2014-09-07,21,1491,VIP
CS1567,2015-02-23,19,1465,VIP
CS1568,2015-02-11,20,1604,VIP
CS1569,2015-02-19,15,1074,Gold
CS1570,2014-12-04,25,1782,VIP
CS1571,2015-02-13,20,1503,VIP
CS1572,2015-02-10,15,1085,Gold
CS1573,2015-02-01,19,1539,VIP
CS1574,2015-03-09,18,1018,Gold
CS1575,2015-01-29,26,1611,VIP
CS1576,2014-12-13,16,1074,Gold
CS1577,2015-02-25,21,1525,VIP
CS1578,2014-12-18,16,1125,Gold
CS1579,2015-02-18,20,1433,VIP
CS1580,2014-09-07,33,2329,VIP
CS1581,2015-02-07,23,1501,VIP
CS1582,2015-02-26,27,2009,VIP
CS1583,2015-02-15,25,1919,VIP
CS1584,2015-03-02,21,1512,VIP
CS1585,2014-12-13,19,1167,Gold
CS1586,2015-01-02,20,1441,VIP
CS1587,2015-02-07,27,1900,VIP
CS1588,2015-03-07,25,1591,VIP
CS1589,2015-03-01,15,1151,Gold
CS1590,2014-10-13,16,964,Silver
CS1591,2014-10-13,18,1144,Gold
CS1592,2015-02-10,19,1215,Gold
CS1593,2015-02-20,20,1406,VIP
CS1594,2015-02-21,13,901,Silver
CS1595,2014-11-30,10,648,Silver
CS1596,2015-02-26,19,1342,Gold
CS1597,2015-01-09,23,1611,VIP
CS1598,2015-02-05,20,1289,Gold
CS1599,2015-01-18,15,1028,Gold
CS1600,2015-02-25,20,1331,Gold
CS1601,2014-12-27,27,1787,VIP
CS1602,2015-02-18,20,1401,VIP
CS1603,2014-11-11,19,1374,Gold
CS1604,2015-03-01,28,1950,VIP
CS1605,2015-02-28,27,1685,VIP
CS1606,2015-03-14,13,781,Silver
CS1607,2015-01-14,19,1384,Gold
CS1608,2015-01-26,14,973,Silver
CS1609,2014-10-30,20,1375,Gold
CS1610,2015-02-12,19,1326,Gold
CS1611,2014-07-01,23,1794,VIP
CS1612,2015-02-25,26,1759,VIP
CS1613,2014-11-09,21,1347,Gold
CS1614,2015-03-06,22,1568,VIP
CS1615,2015-03-13,20,1419,VIP
CS1616,2015-03-06,19,1434,VIP
CS1617,2014-12-02,27,1784,VIP
CS1618,2014-09-22,13,887,Silver
CS1619,2015-03-05,21,1323,Gold
CS1620,2014-05-20,16,1320,Gold
CS1621,2015-02-23,26,1894,VIP
CS1622,2015-03-16,20,1360,Gold
CS1623,2015-02-28,26,1777,VIP
CS1624,2015-02-05,25,1832,VIP
CS1625,2015-03-11,14,950,Silver
CS1626,2015-01-14,17,1172,Gold
CS1627,2014-12-29,16,1043,Gold
CS1628,2015-02-23,21,1456,VIP
CS1629,2015-03-13,22,1394,Gold
CS1630,2015-03-15,20,1393,Gold
CS1631,2015-02-03,18,1223,Gold
CS1632,2015-03-08,17,1187,Gold
CS1633,2015-02-26,26,1763,VIP
CS1634,2015-03-02,15,1044,Gold
CS1635,2014-12-10,23,1573,VIP
CS1636,2015-01-07,19,1347,Gold
CS1637,2015-02-22,22,1496,VIP
CS1638,2014-07-29,15,1035,Gold
CS1639,2015-03-04,23,1619,VIP
CS1640,2015-01-15,19,1232,Gold
CS1641,2015-03-08,17,1232,Gold
CS1642,2015-02-10,24,1672,VIP
CS1643,2015-02-22,27,2087,VIP
CS1644,2014-12-31,22,1542,VIP
CS1645,2014-07-16,19,1412,VIP
CS1646,2015-02-17,17,1185,Gold
CS1647,2015-02-28,21,1401,VIP
CS1648,2014-11-20,24,1776,VIP
CS1649,2015-01-27,16,1197,Gold
CS1650,2014-11-23,24,1832,VIP
CS1651,2014-12-02,13,927,Silver
CS1652,2015-03-15,26,1726,VIP
CS1653,2014-11-19,26,1986,VIP
CS1654,2014-12-16,19,1384,Gold
CS1655,2015-02-16,14,955,Silver
CS1656,2015-01-24,14,966,Silver
CS1657,2014-11-11,18,1105,Gold
CS1658,2015-02-15,20,1389,Gold
CS1659,2015-02-01,19,1311,Gold
CS1660,2015-02-24,24,1745,VIP
CS1661,2015-02-17,32,2051,VIP
CS1662,2015-02-22,17,1033,Gold
CS1663,2014-12-10,23,1487,VIP
CS1664,2015-03-03,25,1954,VIP
CS1665,2014-10-12,16,1033,Gold
CS1666,2015-01-25,18,1385,Gold
CS1667,2015-01-02,20,1313,Gold
CS1668,2015-01-26,17,1227,Gold
CS1669,2015-03-01,15,1105,Gold
CS1670,2014-12-25,16,1191,Gold
CS1671,2014-12-22,17,1246,Gold
CS1672,2014-11-05,15,1110,Gold
CS1673,2015-01-21,26,1784,VIP
CS1674,2015-01-21,17,1088,Gold
CS1675,2015-02-06,28,2124,VIP
CS1676,2015-01-09,28,2088,VIP
CS1677,2015-01-11,21,1439,VIP
CS1678,2014-12-31,18,1230,Gold
CS1679,2015-03-09,28,1976,VIP
CS1680,2015-01-27,18,1151,Gold
CS1681,2014-11-23,21,1467,VIP
CS1682,2014-11-10,15,1075,Gold
CS1683,2015-03-02,17,1245,Gold
CS1684,2015-01-07,18,1241,Gold
CS1685,2014-08-13,22,1569,VIP
CS1686,2015-01-08,24,1647,VIP
CS1687,2015-02-20,22,1656,VIP
CS1688,2014-11-05,17,1167,Gold
CS1689,2015-01-01,16,993,Silver
CS1690,2015-02-21,19,1354,Gold
CS1691,2015-01-02,20,1523,VIP
CS1692,2015-03-15,23,1592,VIP
CS1693,2015-03-01,12,908,Silver
CS1694,2015-01-10,22,1330,Gold
CS1695,2014-12-13,32,2174,VIP
CS1696,2014-11-07,19,1325,Gold
CS1697,2014-11-29,15,1082,Gold
CS1698,2015-03-11,19,1397,Gold
CS1699,2015-02-28,18,1261,Gold
CS1700,2014-07-12,17,1186,Gold
CS1701,2014-09-19,18,1190,Gold
CS1702,2015-02-18,17,1028,Gold
CS1703,2015-01-06,15,890,Silver
CS1704,2015-02-26,22,1484,VIP
CS1705,2014-12-28,21,1553,VIP
CS1706,2015-02-14,23,1681,VIP
CS1707,2015-02-03,22,1627,VIP
CS1708,2015-02-04,25,1790,VIP
CS1709,2014-10-08,23,1629,VIP
CS1710,2014-06-24,22,1577,VIP
CS1711,2014-12-21,23,1548,VIP
CS1712,2014-11-16,21,1411,VIP
CS1713,2015-03-07,19,1495,VIP
CS1714,2015-03-16,16,1248,Gold
CS1715,2015-01-28,20,1314,Gold
CS1716,2014-03-29,6,440,Bronze
CS1717,2015-01-26,14,963,Silver
CS1718,2014-12-29,18,1284,Gold
CS1719,2015-02-09,17,1166,Gold
CS1720,2015-03-16,17,1104,Gold
CS1721,2015-02-24,24,1687,VIP
CS1722,2015-03-02,19,1320,Gold
CS1723,2015-02-09,17,1146,Gold
CS1724,2015-02-15,18,1223,Gold
CS1725,2015-01-16,27,1778,VIP
CS1726,2015-02-17,23,1529,VIP
CS1727,2015-03-05,25,1702,VIP
CS1728,2014-11-30,26,1896,VIP
CS1729,2015-03-03,24,1567,VIP
CS1730,2014-11-05,19,1260,Gold
CS1731,2015-03-02,17,1145,Gold
CS1732,2015-02-19,18,1353,Gold
CS1733,2014-11-06,20,1506,VIP
CS1734,2014-09-07,18,1235,Gold
CS1735,2015-03-03,14,952,Silver
CS1736,2014-12-23,24,1653,VIP
CS1737,2014-12-16,23,1737,VIP
CS1738,2015-02-09,20,1337,Gold
CS1739,2015-01-27,17,1199,Gold
CS1740,2015-02-05,25,1902,VIP
CS1741,2014-10-20,19,1264,Gold
CS1742,2015-01-05,19,1326,Gold
CS1743,2014-09-29,17,1405,VIP
CS1744,2015-03-03,14,1066,Gold
CS1745,2015-02-20,22,1615,VIP
CS1746,2014-06-15,26,1878,VIP
CS1747,2015-03-12,17,1099,Gold
CS1748,2015-03-14,22,1498,VIP
CS1749,2015-02-27,17,1174,Gold
CS1750,2015-03-04,22,1543,VIP
CS1751,2015-01-26,23,1504,VIP
CS1752,2015-02-27,22,1656,VIP
CS1753,2014-12-20,18,1180,Gold
CS1754,2014-12-28,17,1177,Gold
CS1755,2014-12-20,17,1164,Gold
CS1756,2014-07-24,18,1176,Gold
CS1757,2014-12-26,31,2238,VIP
CS1758,2015-01-10,20,1337,Gold
CS1759,2014-11-29,24,1654,VIP
CS1760,2015-01-13,21,1570,VIP
CS1761,2015-03-15,16,1144,Gold
CS1762,2014-12-14,14,1027,Gold
CS1763,2015-02-16,24,1689,VIP
CS1764,2015-02-09,15,1085,Gold
CS1765,2014-12-22,14,1079,Gold
CS1766,2014-11-16,19,1067,Gold
CS1767,2015-02-12,26,1674,VIP
CS1768,2014-12-11,25,1794,VIP
CS1769,2014-09-17,20,1356,Gold
CS1770,2015-03-10,25,1734,VIP
CS1771,2015-03-04,19,1337,Gold
CS1772,2015-01-22,18,1348,Gold
CS1773,2014-12-20,22,1442,VIP
CS1774,2015-03-12,25,1756,VIP
CS1775,2015-01-22,13,848,Silver
CS1776,2015-01-17,25,1782,VIP
CS1777,2014-12-27,14,1044,Gold
CS1778,2015-02-13,19,1368,Gold
